"102","10.2.1.102","3a:3e:cd:f5:07:5a","S9_Miner","1-5-5-2","13391.82"
"103","10.2.1.103","06:8f:af:df:6b:41","S9_Miner","1-5-5-3","13448.52"
"104","10.2.1.104","00:84:ff:6c:58:58","S9_Miner","1-5-5-4","13433.99"
"105","10.2.1.105","02:b0:2a:72:16:d7","S9_Miner","1-6-1-1","13438.56"
"106","10.2.1.106","00:50:2e:4a:81:55","S9_Miner","1-6-1-2","13291.95"
"107","10.2.1.107","00:58:79:70:d5:4e","S9_Miner","1-6-1-3","13453.58"
"108","10.2.1.108","26:bf:e2:63:33:e7","S9_Miner","1-6-1-4","12868.17"
"109","10.2.1.109","26:55:df:da:ee:45","S9_Miner","1-6-2-1","12815.27"
"110","10.2.1.110","00:0c:3e:f8:3a:de","S9_Miner","1-6-2-2","13579.28"
"111","10.2.1.111","00:8f:b2:22:e7:92","S9_Miner","1-6-2-3","13446.49"
"112","10.2.1.112","00:51:a3:e0:54:b9","S9_Miner","1-6-2-4","13262.41"
"113","10.2.1.113","00:7e:96:19:a4:78","S9_Miner","1-6-3-1","13478.40"
"114","10.2.1.114","00:19:70:f9:36:ca","S9_Miner","1-6-3-2","12868.62"
"115","10.2.1.116","1c:d4:23:a2:5c:3c","S9_Miner","1-6-3-3","13037.91"
"116","10.2.1.117","02:43:7a:d8:35:39","S9_Miner","1-6-3-4","13456.03"
"117","10.2.1.118","22:ce:e4:cd:d1:bf","S9_Miner","1-6-4-1","13765.14"
"118","10.2.1.119","54:36:d2:8f:79:6d","S9_Miner","1-6-4-2","13380.75"
"119","10.2.1.120","56:e9:98:3a:51:08","S9_Miner","1-6-4-3","12897.68"
"120","10.2.1.121","00:ad:b7:83:6b:34","S9_Miner","1-6-4-4","13370.58"
"121","10.2.1.122","00:0e:df:36:e1:27","S9_Miner","1-6-5-1","13395.91"
"122","10.2.1.123","50:ed:d8:4a:b1:ee","S9_Miner","1-6-5-2","13088.71"
"123","10.2.1.124","00:cc:6b:ca:e9:b6","S9_Miner","1-6-5-3","13030.03"
"124","10.2.1.125","00:87:fc:26:ff:c3","S9_Miner","1-6-5-4","13450.85"
"125","10.2.1.126","00:91:6b:e4:18:bb","S9_Miner","1-7-1-1","13314.26"
"126","10.2.1.127","00:cc:ac:13:dc:71","S9_Miner","1-7-1-2","13463.34"
"127","10.2.1.128","04:a3:91:b3:8d:f9","S9_Miner","1-7-1-3","13308.24"
"128","10.2.1.129","00:0a:b3:ba:56:b0","S9_Miner","1-7-1-4","13466.97"
"129","10.2.1.130","0e:60:6a:7a:79:a9","S9_Miner","1-7-2-1","13583.76"
"130","10.2.1.131","02:11:e3:a9:6d:33","S9_Miner","1-7-2-2","13358.34"
"131","10.2.1.132","36:df:e7:a4:c2:80","S9_Miner","1-7-2-3","13277.84"
"132","10.2.1.133","00:3a:18:bd:71:73","S9_Miner","1-7-2-4","13371.15"
"133","10.2.1.134","00:ce:aa:5b:f6:bb","S9_Miner","1-7-3-1","13111.70"
"134","10.2.1.135","3c:60:37:37:6c:9b","S9_Miner","1-7-3-2","13409.52"
"135","10.2.1.136","00:6f:d2:17:dc:01","S9_Miner","1-7-3-3","13356.77"
"136","10.2.1.137","02:7c:e1:06:0b:62","S9_Miner","1-7-3-4","13112.09"
"137","10.2.1.138","00:eb:16:64:02:ed","S9_Miner","1-7-4-1","13447.70"
"138","10.2.1.139","08:9f:5e:0c:dd:14","S9_Miner","1-7-4-2","12981.14"
"139","10.2.1.140","20:60:63:27:4d:18","S9_Miner","1-7-4-3","13447.16"
"140","10.2.1.141","00:7f:5e:98:f9:7f","S9_Miner","1-7-4-4","12886.14"
"141","10.2.1.142","00:c2:e7:09:e6:dc","S9_Miner","1-7-5-1","13178.17"
"142","10.2.1.143","58:16:e0:b1:1e:9b","S9_Miner","1-7-5-2","13382.82"
"143","10.2.1.144","56:2d:0c:93:c1:ed","S9_Miner","1-7-5-3","13262.11"
"144","10.2.1.145","00:42:cb:37:9f:30","S9_Miner","1-7-5-4","13228.51"
"145","10.2.1.146","00:d8:c9:0f:20:e4","S9_Miner","1-8-1-1","13461.78"
"146","10.2.1.147","00:f3:61:45:3c:7c","S9_Miner","1-8-1-2","13429.41"
"147","10.2.1.148","00:6f:c8:4a:49:c8","S9_Miner","1-8-1-3","13357.66"
"148","10.2.1.149","00:04:4a:b7:a7:72","S9_Miner","1-8-1-4","13449.00"
"149","10.2.1.150","4e:9a:2e:cf:33:79","S9_Miner","1-8-2-1","13626.53"
"150","10.2.1.151","00:8a:6a:d3:75:ea","S9_Miner","1-8-2-2","13389.45"
"151","10.2.1.152","00:b9:70:79:86:1a","S9_Miner","1-8-2-3","13182.13"
"152","10.2.1.153","02:fb:1a:fd:21:8a","S9_Miner","1-8-2-4","13203.88"
"153","10.2.1.154","00:06:84:f0:07:a0","S9_Miner","1-8-3-1","13410.40"
"154","10.2.1.155","00:34:3e:0d:d9:03","S9_Miner","1-8-3-2","13081.30"
"155","10.2.1.156","00:52:57:fd:cc:73","S9_Miner","1-8-3-3","13386.44"
"156","10.2.1.157","00:35:ae:5d:d1:6b","S9_Miner","1-8-3-4","13270.84"
"157","10.2.1.158","2e:27:75:ca:c7:71","S9_Miner","1-8-4-1","13296.94"
"158","10.2.1.159","00:bf:f9:9e:11:d4","S9_Miner","1-8-4-2","13372.46"
"159","10.2.1.160","06:0c:ef:25:f8:d6","S9_Miner","1-8-4-3","12544.52"
"160","10.2.1.161","08:a4:1b:85:60:d7","S9_Miner","1-8-4-4","12996.14"
"161","10.2.1.162","34:59:15:42:4e:74","S9_Miner","1-8-5-1","13201.04"
"162","10.2.1.163","b8:27:eb:60:79:98","S9_Miner","1-8-5-2",
"163","10.2.1.164","00:63:20:0d:77:d5","S9_Miner","1-8-5-3","13187.30"
"164","10.2.1.165","00:03:e5:23:c2:13","S9_Miner","1-8-5-4","13208.67"
"165","10.2.1.166","00:cb:44:c3:2e:49","S9_Miner","1-9-1-1","13289.64"
"166","10.2.1.167","00:3d:79:b3:d7:52","S9_Miner","1-9-1-2","13144.83"
"167","10.2.1.168","3a:38:2a:07:cf:bb","S9_Miner","1-9-1-3","13079.26"
"168","10.2.1.170","00:30:2f:10:43:62","S9_Miner","1-9-1-4","12701.22"
"169","10.2.1.171","00:4a:bb:92:f9:57","S9_Miner","1-9-2-1","12987.91"
"170","10.2.1.172","00:27:57:3c:d9:d3","S9_Miner","1-9-2-2","13600.49"
"171","10.2.1.173","5c:50:50:79:45:b5","S9_Miner","1-9-2-3","13453.70"
"172","10.2.1.174","00:20:d4:5f:31:5d","S9_Miner","1-9-2-4","13097.87"
"173","10.2.1.175","00:ae:9c:e9:6f:ae","S9_Miner","1-9-3-1","12704.52"
"174","10.2.1.176","00:84:0a:52:52:76","S9_Miner","1-9-3-2","13239.23"
"175","10.2.1.177","02:06:d9:f9:77:24","S9_Miner","1-9-3-3","13537.66"
"176","10.2.1.182","08:8c:de:99:29:e0","S9_Miner","1-9-3-4","13545.17"
"177","10.2.1.183","00:bb:a8:2d:54:4b","S9_Miner","1-9-4-1","13577.66"
"178","10.2.1.184","68:9e:19:a7:46:75","S9_Miner","1-9-4-2","250.08"
"179","10.2.1.185","68:9e:19:a7:a9:39","S9_Miner","1-9-4-3","250.19"
"180","10.2.1.186","68:9e:19:83:fa:3b","S9_Miner","1-9-4-4","249.79"
"181","10.2.1.187","68:9e:19:a7:4c:7d","S9_Miner","1-9-5-1","250.10"
"182","10.2.1.188","68:9e:19:a7:91:00","S9_Miner","1-9-5-2","250.21"
"183","10.2.1.189","68:9e:19:9c:4d:6e","S9_Miner","1-9-5-3","243.73"
"184","10.2.1.190","68:9e:19:a7:87:c6","S9_Miner","1-9-5-4","249.92"
"185","10.2.1.191","68:9e:19:a7:a7:d6","S9_Miner","2-1-1-1","250.05"
"186","10.2.1.192","68:9e:19:a7:89:63","S9_Miner","2-1-1-2","249.84"
"187","10.2.1.193","68:9e:19:a7:b7:12","S9_Miner","2-1-1-3","178.91"
"188","10.2.1.194","68:9e:19:a7:4c:26","S9_Miner","2-1-1-4","229.44"
"189","10.2.1.195","a0:f6:fd:06:e5:97","S9_Miner","2-1-2-1","227.27"
"190","10.2.1.196","68:9e:19:a7:b5:53","S9_Miner","2-1-2-2","249.54"
"191","10.2.1.197","68:9e:19:a7:a9:54","S9_Miner","2-1-2-3","250.05"
"192","10.2.1.198","68:9e:19:a7:ae:4b","S9_Miner","2-1-2-4","250.02"
"193","10.2.1.199","a0:f6:fd:06:e2:63","S9_Miner","2-1-3-1","250.17"
"194","10.2.1.200","68:9e:19:a7:95:b3","S9_Miner","2-1-3-2","249.94"
"195","10.2.1.201","68:9e:19:86:f1:df","S9_Miner","2-1-3-3","227.05"
"196","10.2.1.202","68:9e:19:a7:52:07","S9_Miner","2-1-3-4","250.01"
"197","10.2.1.203","68:9e:19:a7:4c:47","S9_Miner","2-1-4-1","237.58"
"198","10.2.1.204","68:9e:19:a7:50:b9","S9_Miner","2-1-4-2","245.71"
"199","10.2.1.205","a0:f6:fd:03:07:16","S9_Miner","2-1-4-3","249.84"
"200","10.2.1.206","68:9e:19:a7:8e:7f","S9_Miner","2-1-4-4","249.92"
"201","10.2.1.207","68:9e:19:a7:ab:2e","S9_Miner","2-1-5-1","214.64"
"202","10.2.1.208","68:9e:19:a7:c3:6d","S9_Miner","2-1-5-2","249.96"
"203","10.2.1.209","68:9e:19:84:14:d3","S9_Miner","2-1-5-3","250.01"
